Name,Homepage
"onyx","https://www.titanium-software.fr/en/onyx.html"
"open-video-downloader","https://github.com/jely2002/youtube-dl-gui"
"openboard","https://openboard.ch/index.en.html"
"openchrom","https://www.openchrom.net/"
"openclaw","https://openclaw.ai/"
"opencode-desktop","https://opencode.ai/"
"opencomic","https://opencomic.app/"
"opencpn","https://www.opencpn.org/"
"openframeworks","https://openframeworks.cc/"
"openrocket","https://www.openrocket.info/"
"openshot-video-editor","https://openshot.org/"
"opensoundmeter","https://opensoundmeter.com/"
"orange","https://orangedatamining.com/"
"origami-studio","https://origami.design/"
"orion","https://browser.kagi.com/"
"osaurus","https://osaurus.ai/"
"osquery","https://osquery.io/"
"ossapp","https://pkgx.app/"
"ossia-score","https://ossia.io/"
"overlayed","https://overlayed.dev/"
"oversight","https://objective-see.org/products/oversight.html"
"overt","https://getovert.app/"
"overview","https://williampierce.io/overview/"
"ovito","https://www.ovito.org/"
"owocr","https://github.com/AuroraWright/owocr/"
"packetsender","https://packetsender.com/"
"paintbrush","https://paintbrush.sourceforge.io/"
"pairpods","https://pairpods.app/"
"pale-moon","https://www.palemoon.org/"
"pally","https://pally.com/"
"panoply","https://www.giss.nasa.gov/tools/panoply/"
"paraview","https://www.paraview.org/"
"parsify","https://parsify.app/"
"paseo","https://paseo.sh/"
"pd","https://msp.ucsd.edu/software.html"
"pdfsam-basic","https://pdfsam.org/"
"pearcleaner","https://itsalin.com/appInfo/?id=pearcleaner"
"pencil2d","https://www.pencil2d.org/"
"petrichor","https://github.com/kushalpandya/Petrichor"
"pgadmin4","https://www.pgadmin.org/"
"phoenix-slides","https://blyt.net/phxslides/"
"photosrevive","https://neededapps.com/photosrevive/"
"photostickies","https://www.devontechnologies.com/apps/freeware"
"physics-101","https://www.praetersoftware.com/new/physics101/"
"pictogram","https://pictogramapp.com/"
"picview","https://picview.org/"
"pieces","https://pieces.app/"
"pieces-os","https://pieces.app/"
"pika","https://superhighfives.com/pika"
"pile","https://udara.io/pile/"
"pinta","https://www.pinta-project.com/"
"pixieditor","https://pixieditor.net/"
"planet","https://www.planetable.xyz/"
"plover","https://opensteno.org/plover/"
"plugdata","https://plugdata.org/"
"plus42-binary","https://thomasokken.com/plus42/"
"plus42-decimal","https://thomasokken.com/plus42/"
"podman-desktop","https://podman-desktop.io/"
"podolski","https://u-he.com/products/podolski/"
"pomatez","https://zidoro.github.io/pomatez"
"portfolioperformance","https://www.portfolio-performance.info/en/"
"portx","https://portx.online/"
"positron","https://positron.posit.co/"
"post-haste","https://www.digitalrebellion.com/posthaste/"
"postgres-app","https://postgresapp.com/"
"praat","https://praat.org/"
"precize","https://eclecticlight.co/taccy-signet-precize-alifix-utiutility-alisma/"
"preference-manager","https://www.digitalrebellion.com/prefman/"
"prefs-editor","https://apps.tempel.org/PrefsEditor/"
"presentation","https://iihm.imag.fr/blanch/software/osx-presentation/"
"processing","https://processing.org/"
"processmonitor","https://objective-see.org/products/utilities.html#ProcessMonitor"
"protokol","https://hexler.net/protokol"
"prusaslicer","https://www.prusa3d.com/slic3r-prusa-edition/"
"publii","https://getpublii.com/"
"publish-or-perish","https://harzing.com/resources/publish-or-perish"
"pulsar","https://pulsar-edit.dev/"
"pyzo","https://pyzo.org/"
"qcad","https://www.qcad.org/"
"qctools","https://mediaarea.net/QCTools"
"qdirstat","https://github.com/jesusha123/qdirstat-macos/"
"qgis","https://www.qgis.org/"
"qgroundcontrol","https://qgroundcontrol.com/"
"qlc+","https://www.qlcplus.org/"
"qr-journal","https://www.joshjacob.com/mac-development/qrjournal.php"
"quarto","https://www.quarto.org/"
"quicklook-video","https://github.com/Marginal/QuickLookVideo"
"quicksilver","https://qsapp.com/"
"r-app","https://www.r-project.org/"
"racket","https://racket-lang.org/"
"radar","https://getradar.co/"
"rapidapi","https://paw.cloud/"
"raspberry-pi-imager","https://www.raspberrypi.com/software/"
"rawtherapee","https://rawtherapee.com/"
"raycast","https://raycast.com/"
"rclone-ui","https://github.com/rclone-ui/rclone-ui"
"react-native-debugger","https://github.com/jhen0409/react-native-debugger"
"reactotron","https://github.com/infinitered/reactotron"
"readest","https://readest.com/"
"recaf","https://www.coley.software/Recaf"
"recents","https://recentsapp.com/"
"rectangle","https://rectangleapp.com/"
"redis-insight","https://redis.io/insight/"
"reikey","https://objective-see.org/products/reikey.html"
"renpy","https://www.renpy.org/"
"repetier-host","https://www.repetier.com/"
"replit","https://replit.com/"
"responsively","https://responsively.app/"
"restic-browser","https://github.com/emuell/restic-browser"
"retrace","https://retrace.to/"
"revisionist","https://eclecticlight.co/revisionist-deeptools/"
